from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Electric generation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW,EL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV,EL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EY,EL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN,EL,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EO,EL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED,EL,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,EL,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% VEHICLES (vehicles / year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% Biomass and Biorefinery (Capacity--> GW, MGallon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER,EL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,BO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL,EL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
