from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Coal production (Million $ / thousand short ton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,2TAL,0.07131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAZ,4TAZ,0.03628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAR,3TAR,0.04041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCO,4TCO,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPIL,3TIL,0.04041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPIN,3TIN,0.03337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPKS,3TKS,0.04041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPKY,2TKY,0.05133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPLA,1TLA,0.02892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMD,2TMD,0.04219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMS,1TMS,0.02892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMO,3TMO,0.04041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMT,4TMT,0.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNM,4TNM,0.03628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPND,1TND,0.01334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPOH,2TOH,0.04186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPOK,3TOK,0.04772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPPA,2TPA,0.04965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTN,2TTN,0.04894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTX,1TTX,0.02892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPUT,4TUT,0.02691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPVA,2TVA,0.08112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPWV,2TWV,0.05902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPWY,4TWY,0.01062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas imports (Million $ / MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTBC,NTID,0.0039,0.003379,0.00365,0.004008,0.004322,0.004742,0.005231,0.005134,0.004022,0.003514,0.003074,0.002886,0.002838,%updated 2012 costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTON,NTMI,0.00312,0.002703,0.00292,0.003206,0.003457,0.003794,0.004185,0.004107,0.003218,0.002811,0.00246,0.002309,0.00227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMB,NTMN,0.002869917,0.002487,0.002686,0.002949,0.00318,0.00349,0.003849,0.003778,0.00296,0.002586,0.002262,0.002124,0.002088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTON,NTMN,0.003460083,0.002998,0.003238,0.003555,0.003834,0.004207,0.004641,0.004555,0.003568,0.003118,0.002728,0.002561,0.002518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAB,NTMT,0.002450083,0.002123,0.002293,0.002518,0.002715,0.002979,0.003286,0.003225,0.002527,0.002208,0.001931,0.001813,0.001783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTSK,NTMT,0.002399917,0.002079,0.002246,0.002466,0.00266,0.002918,0.003219,0.003159,0.002475,0.002163,0.001892,0.001776,0.001746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTQU,NTNH,0.00408,0.003535,0.003818,0.004193,0.004521,0.004961,0.005472,0.005371,0.004208,0.003677,0.003216,0.003019,0.002969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTON,NTNY,0.003829917,0.003318,0.003584,0.003936,0.004244,0.004657,0.005137,0.005042,0.00395,0.003451,0.003019,0.002834,0.002787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTBC,NTWA,0.00387,0.003353,0.003622,0.003977,0.004289,0.004706,0.00519,0.005094,0.003991,0.003487,0.003051,0.002864,0.002816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTQU,NTVT,0.00489975,0.004245,0.004585,0.005035,0.00543,0.005958,0.006572,0.00645,0.005053,0.004415,0.003863,0.003626,0.003565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNB,NTME,0.004300083,0.003726,0.004024,0.004419,0.004765,0.005229,0.005767,0.00566,0.004435,0.003875,0.00339,0.003182,0.003129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas wellhead (Million $ / MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAL,NTAL,0.00446,0.003864,0.004174,0.004583,0.004942,0.005423,0.005982,0.005871,0.0046,0.004019,0.003516,0.003301,0.003245,%updated 2012 costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAZ,NTAZ,0.004110083,0.003561,0.003846,0.004223,0.004555,0.004998,0.005512,0.00541,0.004239,0.003704,0.00324,0.003042,0.002991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAR,NTAR,0.003839833,0.003327,0.003593,0.003946,0.004255,0.004669,0.00515,0.005055,0.00396,0.00346,0.003027,0.002842,0.002794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCA,NTCA,0.004869917,0.004219,0.004557,0.005004,0.005397,0.005922,0.006532,0.006411,0.005022,0.004388,0.003839,0.003604,0.003544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
