from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.12,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.12,,,,,,,,,,,,
CPAR,7TAR,0.12,,,,,,,,,,,,
CPCA,7TCA,0.12,,,,,,,,,,,,
CPCO,7TCO,0.12,,,,,,,,,,,,
CPCT,7TCT,0.12,,,,,,,,,,,,
CPDE,7TDE,0.12,,,,,,,,,,,,
CPFL,7TFL,0.12,,,,,,,,,,,,
CPGA,7TGA,0.12,,,,,,,,,,,,
CPID,7TID,0.12,,,,,,,,,,,,
CPIL,7TIL,0.12,,,,,,,,,,,,
CPIN,7TIN,0.12,,,,,,,,,,,,
CPIA,7TIA,0.12,,,,,,,,,,,,
CPKS,7TKS,0.12,,,,,,,,,,,,
CPKY,7TKY,0.12,,,,,,,,,,,,
CPLA,7TLA,0.12,,,,,,,,,,,,
CPME,7TME,0.12,,,,,,,,,,,,
CPMD,7TMD,0.12,,,,,,,,,,,,
CPMA,7TMA,0.12,,,,,,,,,,,,
CPMI,7TMI,0.12,,,,,,,,,,,,
CPMN,7TMN,0.12,,,,,,,,,,,,
CPMS,7TMS,0.12,,,,,,,,,,,,
CPMO,7TMO,0.12,,,,,,,,,,,,
CPMT,7TMT,0.12,,,,,,,,,,,,
CPNE,7TNE,0.12,,,,,,,,,,,,
CPNV,7TNV,0.12,,,,,,,,,,,,
CPNH,7TNH,0.12,,,,,,,,,,,,
CPNJ,7TNJ,0.12,,,,,,,,,,,,
CPNM,7TNM,0.12,,,,,,,,,,,,
CPNY,7TNY,0.12,,,,,,,,,,,,
CPNC,7TNC,0.12,,,,,,,,,,,,
CPND,7TND,0.12,,,,,,,,,,,,
CPOH,7TOH,0.12,,,,,,,,,,,,
CPOK,7TOK,0.12,,,,,,,,,,,,
CPOR,7TOR,0.12,,,,,,,,,,,,
CPPA,7TPA,0.12,,,,,,,,,,,,
CPRI,7TRI,0.12,,,,,,,,,,,,
CPSC,7TSC,0.12,,,,,,,,,,,,
CPSD,7TSD,0.12,,,,,,,,,,,,
CPTN,7TTN,0.12,,,,,,,,,,,,
CPTX,7TTX,0.12,,,,,,,,,,,,
CPUT,7TUT,0.12,,,,,,,,,,,,
CPVT,7TVT,0.12,,,,,,,,,,,,
CPVA,7TVA,0.12,,,,,,,,,,,,
CPWA,7TWA,0.12,,,,,,,,,,,,
