from,to,const,,,
% Coal generators (short ton per GWh),,,,,
%EC,EL,919.351458,% accounted in previous arc (coal feed to generator) to accommodate co-firing benefits,,
E4,EL,136.83,% Coal w/ CCS,,
ED,EL,865.10407,,,
E5,EL,128.76,% IGCC w/ CCS,,
% Natural gas generators,,,,,
EG,EL,407.078896,,,
E6,EL,62.72,% NGCC w/ CCS,,
ET,EL,555.693674,,,
% Petroleum generation,,,,,
EO,EL,808.09808,,,
% Geothermal,,,,,
E1,EL,123.570698,,,
% Nuclear,,,,,
EN,EL,8.50984332,,,
% Rail and truck (short ton / MM gallon used),,,,,
XD,DD,14761,%,11100,14761
% Vehicles (short ton / MM gallon used),,,,,
%GD,G,9700,%Add 3661 short ton/MM Gallon in bio-refinery operation and fuel production - LCA,,
XG,GD,13361,%,9700,13361
XJ,JD,14211,%,10550,14211
% Feedstock production and transportation (short ton/k-ton),,,,,
CP,1T,87.48576657,,,
CP,2T,169.4037816,,,
CP,3T,108.8302237,,,
CP,4T,110.8930917,,,
CP,7T,311.95,"% best practise, add more for worst practises - land use, fertilizers (yield), transportation, drying… - scenarios",,
CP,8T,233.9655757,"% best practise, add more for worst practises - forest clearing, transportation, drying… - scenarios",,
CP,9T,-756.77,"% Add more for worst practises - transportation, drying… - scenarios",,
% Natural gas production (short ton/MMCF),,,,,
NP,NT,21.71969352,,,
% Oil production (short ton/MM gallon),,,,,
XO,EO,2472.02,,,
% Conversion (short ton/k-short-ton for generation before conversion - equivalent to short-ton/GWh after conversion),,,,,
1T,EC,1760.889154,,,
2T,EC,2404.969388,,,
3T,EC,1967.518963,,,
4T,EC,2004.813124,,,
7T,EC,0,% sequestered at production (by plant and soil),,
8T,EC,0,,,
% Biomass conversion facilities - credits - scenarios,,,,,
BR,BO,0,% credits,"short ton/MM Gallon - fuel used for operation, but credit in feedstock production (plant and soil C sequestration)",
EA,EL,0,% credits,"fuel used for operation, but credit in feedstock production",
EM,EL,0,,,
ES,EL,0,,,
BO,DD,774.4,% credits (2358.5),,"short ton/MM Gallon - fuel used for operation, but credit in by-products"
BO,GD,774.4,% credits (1393),,"short ton/MM Gallon - fuel used for operation, but credit in by-products"
