from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Geographical variation in feedstock max. availability for cost-curve (k-ton/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,7TAL,0.36744635,0.36744635,0.36744635,0.36744635,0.369500277,0.371554203,0.37360813,0.3715455,0.36948287,0.36742024,0.36535761,0.36329498,0.364669252,0.366043524,0.367417796,0.368792068,0.37016634,0.37283638,0.37550642,0.37817646,0.3808465,0.38351654,0.38485156,0.38618658,0.3875216,0.38885662,0.39019164,0.39152666,0.39286168,0.3941967,0.39553172,0.39686674,0.39820176,0.39953678,0.4008718,0.40220682,0.40354184,0.40487686,0.40621188,0.4075469,0.40888192
CPAZ,7TAZ,0.41736456,0.41736456,0.41736456,0.41736456,0.41861434,0.41986412,0.4211139,0.417155222,0.413196544,0.409237866,0.405279188,0.40132051,0.402419268,0.403518026,0.404616784,0.405715542,0.4068143,0.407958148,0.409101996,0.410245844,0.411389692,0.41253354,0.413105464,0.413677388,0.414249312,0.414821236,0.41539316,0.415965084,0.416537008,0.417108932,0.417680856,0.41825278,0.418824704,0.419396628,0.419968552,0.420540476,0.4211124,0.421684324,0.422256248,0.422828172,0.423400096
CPAR,7TAR,1.94323525,1.94323525,1.94323525,1.94323525,1.95927338,1.97531151,1.99134964,1.997004314,2.002658988,2.008313662,2.013968336,2.01962301,2.030452688,2.041282366,2.052112044,2.062941722,2.0737714,2.086156672,2.098541944,2.110927216,2.123312488,2.13569776,2.141890396,2.148083032,2.154275668,2.160468304,2.16666094,2.172853576,2.179046212,2.185238848,2.191431484,2.19762412,2.203816756,2.210009392,2.216202028,2.222394664,2.2285873,2.234779936,2.240972572,2.247165208,2.253357844
CPCA,7TCA,1.09271972,1.09271972,1.09271972,1.09271972,1.099941203,1.107162687,1.11438417,1.110722204,1.107060238,1.103398272,1.099736306,1.09607434,1.101193066,1.106311792,1.111430518,1.116549244,1.12166797,1.12685989,1.13205181,1.13724373,1.14243565,1.14762757,1.15022353,1.15281949,1.15541545,1.15801141,1.16060737,1.16320333,1.16579929,1.16839525,1.17099121,1.17358717,1.17618313,1.17877909,1.18137505,1.18397101,1.18656697,1.18916293,1.19175889,1.19435485,1.19695081
CPCO,7TCO,1.33731685,1.33731685,1.33731685,1.33731685,1.34502621,1.35273557,1.36044493,1.364253966,1.368063002,1.371872038,1.375681074,1.37949011,1.39810814,1.41672617,1.4353442,1.45396223,1.47258026,1.478756194,1.484932128,1.491108062,1.497283996,1.50345993,1.506547897,1.509635864,1.512723831,1.515811798,1.518899765,1.521987732,1.525075699,1.528163666,1.531251633,1.5343396,1.537427567,1.540515534,1.543603501,1.546691468,1.549779435,1.552867402,1.555955369,1.559043336,1.562131303
CPCT,7TCT,0.02454861,0.02454861,0.02454861,0.02454861,0.024656637,0.024764663,0.02487269,0.024543986,0.024215282,0.023886578,0.023557874,0.02322917,0.023293984,0.023358798,0.023423612,0.023488426,0.02355324,0.023587962,0.023622684,0.023657406,0.023692128,0.02372685,0.023744211,0.023761572,0.023778933,0.023796294,0.023813655,0.023831016,0.023848377,0.023865738,0.023883099,0.02390046,0.023917821,0.023935182,0.023952543,0.023969904,0.023987265,0.024004626,0.024021987,0.024039348,0.024056709
CPDE,7TDE,0.12580188,0.12580188,0.12580188,0.12580188,0.127323983,0.128846087,0.13036819,0.13175211,0.13313603,0.13451995,0.13590387,0.13728779,0.138609804,0.139931818,0.141253832,0.142575846,0.14389786,0.151420658,0.158943456,0.166466254,0.173989052,0.18151185,0.185273249,0.189034648,0.192796047,0.196557446,0.200318845,0.204080244,0.207841643,0.211603042,0.215364441,0.21912584,0.222887239,0.226648638,0.230410037,0.234171436,0.237932835,0.241694234,0.245455633,0.249217032,0.252978431
CPFL,7TFL,0.10571275,0.10571275,0.10571275,0.10571275,0.106102563,0.106492377,0.10688219,0.105554896,0.104227602,0.102900308,0.101573014,0.10024572,0.100390248,0.100534776,0.100679304,0.100823832,0.10096836,0.10113462,0.10130088,0.10146714,0.1016334,0.10179966,0.10188279,0.10196592,0.10204905,0.10213218,0.10221531,0.10229844,0.10238157,0.1024647,0.10254783,0.10263096,0.10271409,0.10279722,0.10288035,0.10296348,0.10304661,0.10312974,0.10321287,0.103296,0.10337913
CPGA,7TGA,0.44156676,0.44156676,0.44156676,0.44156676,0.44521459,0.44886242,0.45251025,0.452843334,0.453176418,0.453509502,0.453842586,0.45417567,0.457192034,0.460208398,0.463224762,0.466241126,0.46925749,0.471978404,0.474699318,0.477420232,0.480141146,0.48286206,0.484222517,0.485582974,0.486943431,0.488303888,0.489664345,0.491024802,0.492385259,0.493745716,0.495106173,0.49646663,0.497827087,0.499187544,0.500548001,0.501908458,0.503268915,0.504629372,0.505989829,0.507350286,0.508710743
