from,to,const  % M$/PCE-mile - multiply by distance and eff to get M$/vehicle
%% Highway,,
gg,,3.06E-07
cc,,3.06E-07
%% Air,,
ffMANH,,7.03E-07
ffDEMD,,6.69E-07
ffMDPA,,5.42E-07
ffNHVT,,5.27E-07
ffDENJ,,5.20E-07
ffCTMA,,4.89E-07
ffNJNY,,4.39E-07
ffDEPA,,4.37E-07
ffCTRI,,4.31E-07
ffMDVA,,4.13E-07
ffCTNY,,3.50E-07
ffMENH,,3.44E-07
ffNJPA,,3.40E-07
ffALGA,,3.07E-07
ffINKY,,3.07E-07
ffMDNY,,2.97E-07
ffILIN,,2.94E-07
ffLAMS,,2.82E-07
ffALMS,,2.74E-07
ffNCSC,,2.71E-07
ffALTN,,2.64E-07
ffORWA,,2.61E-07
ffNYPA,,2.58E-07
ffMAVT,,2.56E-07
ffNCVA,,2.54E-07
ffIAMN,,2.49E-07
ffILWI,,2.42E-07
ffILMI,,2.39E-07
ffKYTN,,2.38E-07
ffMNWI,,2.34E-07
ffKSMO,,2.33E-07
ffMANY,,2.32E-07
ffMIOH,,2.28E-07
ffGATN,,2.24E-07
ffKYOH,,2.19E-07
ffMDNC,,2.19E-07
ffGASC,,2.18E-07
ffINOH,,2.17E-07
ffKSOK,,2.13E-07
ffIAIL,,2.01E-07
ffINMI,,2.00E-07
ffIDUT,,1.99E-07
ffCANV,,1.98E-07
ffCOWY,,1.98E-07
ffGANC,,1.97E-07
ffMDWV,,1.92E-07
ffMAPA,,1.90E-07
ffMNSD,,1.88E-07
ffIAMO,,1.83E-07
ffNCPA,,1.83E-07
ffAROK,,1.83E-07
ffILMO,,1.81E-07
ffKSNE,,1.81E-07
ffILMN,,1.80E-07
ffOHWV,,1.76E-07
ffMAMD,,1.73E-07
ffNYVT,,1.70E-07
ffIANE,,1.67E-07
ffNDSD,,1.67E-07
ffIAWI,,1.66E-07
ffOKTX,,1.66E-07
ffMNND,,1.64E-07
ffNESD,,1.60E-07
ffKYWV,,1.59E-07
ffPAWV,,1.58E-07
ffMIWI,,1.55E-07
ffILKY,,1.55E-07
ffOHPA,,1.55E-07
ffNVUT,,1.54E-07
