from,to,mileage,fleet
AL,FL,591.5,tk
AL,GA,182,tk
AL,MS,207.5,tk
AL,TN,216,tk
AR,LA,532.5,tk
AR,MO,560.5,tk
AR,OK,333,tk
AR,TN,418,tk
AR,TX,473.5,tk
AZ,CA,493,tk
AZ,NM,517.5,tk
AZ,NV,592,tk
AZ,UT,962,tk
CA,NV,303,tk
CA,OR,862,tk
CO,KS,529,tk
CO,NE,447.5,tk
CO,NM,489.5,tk
CO,UT,627,tk
CO,WY,303,tk
CT,MA,109.5,tk
CT,NY,157.5,tk
CT,RI,125.5,tk
DE,MD,78.5,tk
DE,NJ,102.5,tk
DE,PA,123.5,tk
FL,GA,441.5,tk
GA,SC,269.5,tk
GA,TN,261,tk
IA,IL,296.5,tk
IA,MN,231,tk
IA,MO,332,tk
IA,NE,372,tk
IA,SD,446.5,tk
IA,WI,375,tk
ID,MT,482.5,tk
ID,OR,596,tk
ID,UT,301.5,tk
ID,WA,620.5,tk
ID,WY,868,tk
IL,IN,191,tk
IL,KY,408.5,tk
IL,MO,338,tk
IL,WI,239,tk
IN,KY,182,tk
IN,MI,299,tk
IN,OH,271.5,tk
KS,MO,249.5,tk
KS,NE,338.5,tk
KS,OK,277.5,tk
KY,OH,268,tk
KY,TN,243,tk
KY,WV,395,tk
LA,MS,200.5,tk
LA,TX,517,tk
MA,NH,74.5,tk
MA,NY,251.5,tk
MA,VT,224,tk
MD,PA,98,tk
MD,VA,131.5,tk
MD,WV,314,tk
ME,NH,160.5,tk
MI,OH,256.5,tk
MI,WI,408,tk
MN,ND,381,tk
MN,SD,322,tk
MN,WI,248,tk
MO,OK,503.5,tk
MO,TN,494,tk
MS,TN,439,tk
MT,ND,780.5,tk
MT,WY,547,tk
NC,SC,209.5,tk
NC,TN,541,tk
NC,VA,225.5,tk
ND,SD,373.5,tk
NE,SD,392,tk
NE,WY,541.5,tk
NH,VT,101,tk
NJ,NY,123,tk
NJ,PA,162.5,tk
NM,TX,799,tk
NV,OR,1170.5,tk
NV,UT,413.5,tk
NY,PA,222,tk
NY,VT,364.5,tk
OH,PA,408.5,tk
OH,WV,348.5,tk
OK,TX,375.5,tk
OR,WA,219,tk
PA,WV,401,tk
SD,WY,606.5,tk
TN,VA,643.5,tk
UT,WY,706,tk
VA,WV,455.5,tk
