from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% VEHICLES (thousand vehicles / year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Regular gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gg01,VD01,10000,%,3751.125784,4201.260878,4205.762229,4210.308594,4214.900422,4219.538168,4224.222292,4228.953257,4233.731532,4238.557589,4243.431907,4248.354968,4253.32726,4708.484369,4718.057955,4727.727277,4737.493292,4747.356967,4757.319279,4767.381214,4777.543768,4787.807948,4798.174769,4808.645259,4819.220454,5280.036495,5295.325602,5310.7676,5326.364018,5342.1164,5358.026307,5374.095312,5390.325007,5406.716999,5423.272912,5439.994383,5456.883069,5924.075736,5945.805235
Gg02,VD02,10000,%,1957.806782,2192.743596,2195.092964,2197.465826,2199.862416,2202.282973,2204.727735,2207.196944,2209.690846,2212.209686,2214.753715,2217.323185,2219.918349,2457.476278,2462.472973,2467.519635,2472.616764,2477.764864,2482.964444,2488.216021,2493.520113,2498.877247,2504.287951,2509.752763,2515.272223,2755.783691,2763.76346,2771.823027,2779.963189,2788.184753,2796.488533,2804.875351,2813.346036,2821.901429,2830.542375,2839.269731,2848.084361,3091.92395,3103.265122
Gg03,VD03,10000,%,1271.934994,1424.567194,1426.093516,1427.635101,1429.192102,1430.764673,1432.35297,1433.957149,1435.577371,1437.213795,1438.866583,1440.535899,1442.221908,1596.556976,1599.803196,1603.081878,1606.393347,1609.73793,1613.11596,1616.527769,1619.973697,1623.454084,1626.969275,1630.519618,1634.105464,1790.359368,1795.543612,1800.779698,1806.068145,1811.409477,1816.804221,1822.252914,1827.756093,1833.314304,1838.928097,1844.598028,1850.324658,2008.740754,2016.108812
Gg04,VD04,10000,%,1251.60727,1401.800142,1403.302071,1404.819019,1406.351136,1407.898575,1409.461488,1411.04003,1412.634358,1414.244629,1415.871002,1417.51364,1419.172703,1571.04123,1574.23557,1577.461853,1580.720398,1584.01153,1587.335572,1590.692855,1594.083711,1597.508476,1600.967488,1604.46109,1607.989628,1761.746324,1766.847715,1772.000119,1777.204047,1782.460015,1787.768543,1793.130155,1798.545384,1804.014765,1809.53884,1815.118156,1820.753265,1976.637597,1983.887901
Gg05,VD05,10000,%,1136.923526,1273.354349,1274.718657,1276.096609,1277.48834,1278.893988,1280.313692,1281.747594,1283.195835,1284.658558,1286.135908,1287.628032,1289.135077,1427.088016,1429.98966,1432.920322,1435.88029,1438.869857,1441.889321,1444.938979,1448.019133,1451.130089,1454.272155,1457.445641,1460.650862,1600.318959,1604.952913,1609.633207,1614.360304,1619.134672,1623.956783,1628.827116,1633.746151,1638.714378,1643.732286,1648.800374,1653.919142,1795.519922,1802.105886
Gg06,VD06,10000,%,812.6215735,910.1361623,911.1113082,912.0962055,913.0909518,914.0956456,915.1103863,916.1352745,917.1704115,918.2158999,919.2718431,920.3383458,921.4155136,1020.018042,1022.092006,1024.186711,1026.302362,1028.43917,1030.597346,1032.777104,1034.978659,1037.20223,1039.448036,1041.716301,1044.007248,1143.835694,1147.147835,1150.493098,1153.871813,1157.284315,1160.730943,1164.212036,1167.727941,1171.279005,1174.865579,1178.488019,1182.146684,1283.356524,1288.063873
Gg07,VD07,10000,%,694.1491952,777.4470987,778.2800777,779.1213865,779.9711084,780.8293276,781.6961289,782.5715982,783.4558223,784.3488885,785.2508855,786.1619024,787.0820294,871.3092612,873.0808619,874.8701785,876.6773884,878.5026703,880.346205,882.2081751,884.0887649,885.9881606,887.9065503,889.8441238,891.8010731,977.0754953,979.9047583,982.762314,985.6484452,988.5634377,991.5075801,994.4811639,997.4844836,1000.517837,1003.581523,1006.675846,1009.801113,1096.255535,1100.276599
Gg08,VD08,10000,%,1275.870507,1428.974968,1430.506012,1432.052367,1433.614186,1435.191623,1436.784834,1438.393977,1440.019212,1441.660699,1443.318601,1444.993082,1446.684308,1601.496906,1604.75317,1608.041997,1611.363712,1614.718644,1618.107125,1621.529492,1624.986081,1628.477237,1632.003304,1635.564632,1639.161574,1795.898945,1801.09923,1806.351517,1811.656327,1817.014185,1822.425622,1827.891173,1833.41138,1838.986788,1844.617951,1850.305426,1856.049775,2014.956028,2022.346884
