from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment 1 (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.01,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.01,,,,,,,,,,,,
CPAR,7TAR,0.01,,,,,,,,,,,,
CPCA,7TCA,0.01,,,,,,,,,,,,
CPCO,7TCO,0.01,,,,,,,,,,,,
CPCT,7TCT,0.01,,,,,,,,,,,,
CPDE,7TDE,0.01,,,,,,,,,,,,
CPFL,7TFL,0.01,,,,,,,,,,,,
CPGA,7TGA,0.01,,,,,,,,,,,,
CPID,7TID,0.01,,,,,,,,,,,,
CPIL,7TIL,0.01,,,,,,,,,,,,
CPIN,7TIN,0.01,,,,,,,,,,,,
CPIA,7TIA,0.01,,,,,,,,,,,,
CPKS,7TKS,0.01,,,,,,,,,,,,
CPKY,7TKY,0.01,,,,,,,,,,,,
CPLA,7TLA,0.01,,,,,,,,,,,,
CPME,7TME,0.01,,,,,,,,,,,,
CPMD,7TMD,0.01,,,,,,,,,,,,
CPMA,7TMA,0.01,,,,,,,,,,,,
CPMI,7TMI,0.01,,,,,,,,,,,,
CPMN,7TMN,0.01,,,,,,,,,,,,
CPMS,7TMS,0.01,,,,,,,,,,,,
CPMO,7TMO,0.01,,,,,,,,,,,,
CPMT,7TMT,0.01,,,,,,,,,,,,
CPNE,7TNE,0.01,,,,,,,,,,,,
CPNV,7TNV,0.01,,,,,,,,,,,,
CPNH,7TNH,0.01,,,,,,,,,,,,
CPNJ,7TNJ,0.01,,,,,,,,,,,,
CPNM,7TNM,0.01,,,,,,,,,,,,
CPNY,7TNY,0.01,,,,,,,,,,,,
CPNC,7TNC,0.01,,,,,,,,,,,,
CPND,7TND,0.01,,,,,,,,,,,,
CPOH,7TOH,0.01,,,,,,,,,,,,
CPOK,7TOK,0.01,,,,,,,,,,,,
CPOR,7TOR,0.01,,,,,,,,,,,,
CPPA,7TPA,0.01,,,,,,,,,,,,
CPRI,7TRI,0.01,,,,,,,,,,,,
CPSC,7TSC,0.01,,,,,,,,,,,,
CPSD,7TSD,0.01,,,,,,,,,,,,
CPTN,7TTN,0.01,,,,,,,,,,,,
CPTX,7TTX,0.01,,,,,,,,,,,,
CPUT,7TUT,0.01,,,,,,,,,,,,
CPVT,7TVT,0.01,,,,,,,,,,,,
CPVA,7TVA,0.01,,,,,,,,,,,,
CPWA,7TWA,0.01,,,,,,,,,,,,
CPWV,7TWV,0.01,,,,,,,,,,,,
CPWI,7TWI,0.01,,,,,,,,,,,,
CPWY,7TWY,0.01,,,,,,,,,,,,
CPAL,8TAL,0.01,,,,,,,,,,,,
CPAZ,8TAZ,0.01,,,,,,,,,,,,
CPAR,8TAR,0.01,,,,,,,,,,,,
CPCA,8TCA,0.01,,,,,,,,,,,,
CPCO,8TCO,0.01,,,,,,,,,,,,
CPCT,8TCT,0.01,,,,,,,,,,,,
CPDE,8TDE,0.01,,,,,,,,,,,,
CPFL,8TFL,0.01,,,,,,,,,,,,
CPGA,8TGA,0.01,,,,,,,,,,,,
CPID,8TID,0.01,,,,,,,,,,,,
CPIL,8TIL,0.01,,,,,,,,,,,,
CPIN,8TIN,0.01,,,,,,,,,,,,
CPIA,8TIA,0.01,,,,,,,,,,,,
CPKS,8TKS,0.01,,,,,,,,,,,,
CPKY,8TKY,0.01,,,,,,,,,,,,
CPLA,8TLA,0.01,,,,,,,,,,,,
CPME,8TME,0.01,,,,,,,,,,,,
CPMD,8TMD,0.01,,,,,,,,,,,,
CPMA,8TMA,0.01,,,,,,,,,,,,
CPMI,8TMI,0.01,,,,,,,,,,,,
CPMN,8TMN,0.01,,,,,,,,,,,,
CPMS,8TMS,0.01,,,,,,,,,,,,
CPMO,8TMO,0.01,,,,,,,,,,,,
CPMT,8TMT,0.01,,,,,,,,,,,,
CPNE,8TNE,0.01,,,,,,,,,,,,
CPNV,8TNV,0.01,,,,,,,,,,,,
CPNH,8TNH,0.01,,,,,,,,,,,,
CPNJ,8TNJ,0.01,,,,,,,,,,,,
CPNM,8TNM,0.01,,,,,,,,,,,,
CPNY,8TNY,0.01,,,,,,,,,,,,
CPNC,8TNC,0.01,,,,,,,,,,,,
CPND,8TND,0.01,,,,,,,,,,,,
CPOH,8TOH,0.01,,,,,,,,,,,,
CPOK,8TOK,0.01,,,,,,,,,,,,
CPOR,8TOR,0.01,,,,,,,,,,,,
CPPA,8TPA,0.01,,,,,,,,,,,,
CPRI,8TRI,0.01,,,,,,,,,,,,
CPSC,8TSC,0.01,,,,,,,,,,,,
CPSD,8TSD,0.01,,,,,,,,,,,,
CPTN,8TTN,0.01,,,,,,,,,,,,
CPTX,8TTX,0.01,,,,,,,,,,,,
CPUT,8TUT,0.01,,,,,,,,,,,,
CPVT,8TVT,0.01,,,,,,,,,,,,
CPVA,8TVA,0.01,,,,,,,,,,,,
CPWA,8TWA,0.01,,,,,,,,,,,,
CPWV,8TWV,0.01,,,,,,,,,,,,
CPWI,8TWI,0.01,,,,,,,,,,,,
CPWY,8TWY,0.01,,,,,,,,,,,,
CPAL,9TAL,0.01,,,,,,,,,,,,
CPAZ,9TAZ,0.01,,,,,,,,,,,,
CPAR,9TAR,0.01,,,,,,,,,,,,
CPCA,9TCA,0.01,,,,,,,,,,,,
CPCO,9TCO,0.01,,,,,,,,,,,,
CPCT,9TCT,0.01,,,,,,,,,,,,
CPDE,9TDE,0.01,,,,,,,,,,,,
CPFL,9TFL,0.01,,,,,,,,,,,,
CPGA,9TGA,0.01,,,,,,,,,,,,
CPID,9TID,0.01,,,,,,,,,,,,
CPIL,9TIL,0.01,,,,,,,,,,,,
CPIN,9TIN,0.01,,,,,,,,,,,,
CPIA,9TIA,0.01,,,,,,,,,,,,
CPKS,9TKS,0.01,,,,,,,,,,,,
CPKY,9TKY,0.01,,,,,,,,,,,,
CPLA,9TLA,0.01,,,,,,,,,,,,
CPME,9TME,0.01,,,,,,,,,,,,
CPMD,9TMD,0.01,,,,,,,,,,,,
CPMA,9TMA,0.01,,,,,,,,,,,,
CPMI,9TMI,0.01,,,,,,,,,,,,
CPMN,9TMN,0.01,,,,,,,,,,,,
CPMS,9TMS,0.01,,,,,,,,,,,,
CPMO,9TMO,0.01,,,,,,,,,,,,
CPMT,9TMT,0.01,,,,,,,,,,,,
CPNE,9TNE,0.01,,,,,,,,,,,,
CPNV,9TNV,0.01,,,,,,,,,,,,
CPNH,9TNH,0.01,,,,,,,,,,,,
CPNJ,9TNJ,0.01,,,,,,,,,,,,
CPNM,9TNM,0.01,,,,,,,,,,,,
CPNY,9TNY,0.01,,,,,,,,,,,,
CPNC,9TNC,0.01,,,,,,,,,,,,
CPND,9TND,0.01,,,,,,,,,,,,
CPOH,9TOH,0.01,,,,,,,,,,,,
CPOK,9TOK,0.01,,,,,,,,,,,,
CPOR,9TOR,0.01,,,,,,,,,,,,
CPPA,9TPA,0.01,,,,,,,,,,,,
CPRI,9TRI,0.01,,,,,,,,,,,,
CPSC,9TSC,0.01,,,,,,,,,,,,
CPSD,9TSD,0.01,,,,,,,,,,,,
CPTN,9TTN,0.01,,,,,,,,,,,,
CPTX,9TTX,0.01,,,,,,,,,,,,
CPUT,9TUT,0.01,,,,,,,,,,,,
CPVT,9TVT,0.01,,,,,,,,,,,,
CPVA,9TVA,0.01,,,,,,,,,,,,
CPWA,9TWA,0.01,,,,,,,,,,,,
CPWV,9TWV,0.01,,,,,,,,,,,,
CPWI,9TWI,0.01,,,,,,,,,,,,
CPWY,9TWY,0.01,,,,,,,,,,,,
