from,to,const,,,,,
% Feedstock production and transportation (short ton/k-ton),,,,,,,
CP,7T,311.95,"% best practise, add more for worst practises - land use, fertilizers (yield), transportation, drying… - scenarios",,,311.95,623.9
CP,8T,233.9655757,"% best practise, add more for worst practises - forest clearing, transportation, drying… - scenarios",,,233.9655757,350.9483636
CP,9T,-756.77,"% Add more for worst practises - transportation, drying… - scenarios",,,-756.77,605.42
% Conversion (short ton/k-short-ton for generation before conversion - equivalent to short-ton/GWh after conversion),,,,,,,
7T,EC,0,% sequestered at production (by plant and soil),,,0,
8T,EC,0,,,,,
% Biomass conversion facilities - credits - scenarios,,,,,,,
BR,BO,0,% credits,"short ton/MM Gallon - fuel used for operation, but credit in feedstock production (plant and soil C sequestration)",,0,
EA,EL,0,% credits,"fuel used for operation, but credit in feedstock production",,0,
EM,EL,0,,,,,
ES,EL,0,,,,,
BO,DD,774.4,% credits (2358.5),,"short ton/MM Gallon - fuel used for operation, but credit in by-products",774.4,1310.26
BO,GD,774.4,% credits (1393),,"short ton/MM Gallon - fuel used for operation, but credit in by-products",774.4,1310.26
