from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
ggALFL,,437070,437070,452782.5,468757.5,485020,501595,518505,535772.5,553422.5,571475,589952.5,608877.5,628275,648162.5,668562.5,689497.5,710992.5,733065,755742.5,779045,802995,827617.5,852937.5,878977.5,905762.5,933315,961667.5,990840,695415,726315,613337.5,510357.5,415410,326642.5,242317.5,160801.5,80551,107.4785,0,0,0
ggFLAL,,2602050,2602050,2682725,2765600,2850750,2938300,3028325,3120875,3216075,3314025,3414775,3518450,3625125,3734925,3847925,3964250,4083975,4207250,4334150,4464800,4599325,4737825,4880450,5027325,5178550,5334300,5494675,5659825,5504475,5679650,5715275,5765350,5828050,5901675,5984600,6075350,6172525,6274850,6381075,6490050,6600700
ggALGA,,3156275,3156275,3254125,3354650,3457950,3564150,3673325,3785600,3901075,4019875,4142100,4267850,4397250,4504000,4411150,3460200,3564000,3670925,3781050,3894475,4011300,4131650,4255600,4383275,4514775,4650200,4789725,4933400,4657500,4911400,5172825,5442000,5719175,5890750,6067475,6249500,6436975,6006525,5582350,5189525,5003800
ggGAAL,,868682.5,868682.5,897895,927735,958235,989437.5,1021380,1054097.5,1087632.5,1122020,1157300,1193507.5,1230682.5,1242427.5,1051745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ggALMS,,255040,255040,264837.5,274760,284822.5,295040,305430,316007.5,326792.5,337795,306600,151163.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ggMSAL,,2150650,2150650,2217317.5,2285812.5,2356207.5,2428565,2502950,2579475,2658150,2739100,2779950,2698700,2623975,2702675,2783775,2867275,2953300,3041900,3133150,3227150,3323975,3423675,3526400,3632175,3741150,3715875,3545125,3379400,2437102.5,2594825,2224295,1866057.5,1518615,1180570,850615,527535,252627.5,106888.5,98337.5,90470.5,83232.75
ggALTN,,2948075,2948075,3039450,3133350,3229850,3329025,3431000,3309275,3166275,3034700,2913675,2802325,2886375,2972975,3062175,3154025,3248650,3346100,3446500,3549900,3656375,3766075,3879050,3995425,3957775,3736600,3523875,3318625,2049565,2289067.5,1805132.5,1338780,887965,677387.5,502962.5,330425,159261.75,146520.75,134799,124015.25,114094
ggTNAL,,862882.5,862882.5,891712.5,921175,951302.5,982135,1013707.5,819462.5,601762.5,393262.5,192978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ggARLA,,209074,209074,215555,222214,229057.25,236091.5,243323.75,250760,258410,266280,274375,282705,291277.5,300097.5,309177.5,318525,328145,338050,348245,358745,369552.5,380682.5,392142.5,403942.5,416095,428607.5,441495,454765,468432.5,482507.5,497002.5,511930,527305,543140,559450,576245,593545,611362.5,629715,598297.5,567012.5
ggLAAR,,59368.5,59368.5,61358.5,63391.5,65470,67596.75,69774.25,72005,74291.75,76637,79043.5,81513.25,84049.5,86654.5,89330.75,92081.5,94908.75,97816,100805.5,103880.25,107043.25,110297.25,113645.75,117091.25,120637.25,124287.25,128044,131911.25,135892.5,139991.25,144211.25,148556.25,153030,157636.75,162380.25,167265,172295.25,177475.25,182810,137984.5,92891.25
ggARMO,,1222810,1222810,1260715,1299660,1339685,1380825,1423125,1466625,1511365,1557387.5,1604735,1653455,1703587.5,1755185,1808290,1862950,1919220,1977145,2036782.5,2098180,2161400,2226492.5,2293517.5,2362535,2433605,2506800,2582150,2659775,2739700,2822025,2906800,2994125,3084050,3176650,3272050,3370275,3471475,3571275,3386225,3487800,3592450
ggMOAR,,88482.5,88482.5,92358.5,96253,100174.5,104131,108130.25,112179.25,116285.25,120455.25,124695.75,129013.5,133414.5,137905.25,142491.5,147179.5,151975,156884,161912.25,167065.5,172350,177771,183334.5,189046.75,194913.25,200940,207133.25,213499.25,220044,226774,233695.5,240815.25,248139.75,255675,263430,271412.5,279625,283680,0,0,0
ggAROK,,440690,440690,405435,373000,343160,315707.5,290450,267215,245837,226170,208076.5,191430.25,176116,162026.75,149064.5,59419.25,126168.25,116074.75,106788.75,98245.75,90386,83155.25,76502.75,70382.5,64752,59571.75,54806,50421.5,13009.45,42676.75,39262.75,36121.75,33232,30573.25,28127.5,25877.25,23807.1,21902.525,20150.325,18538.3,17055.225
ggOKAR,,418247.5,418247.5,382320,349192.5,318637.5,290450,264435,240418.25,218237.25,197742.25,178796,161271.5,145052.25,130031,116109,25475,91205.75,80063.5,69697,60041.25,51035.5,42624,34755.75,27383,20462.475,13953.65,7819.35,2025.275,0,0,0,0,0,0,0,0,0,0,0,0,0
