from,to,const,,,,,,,,,,,,
% Hybrid vehicles (GWh / thousand cars),,,,,,,,,,,,,,
Gh01,EL01,1.044962328,,,,,,,,,,,,
Gh02,EL02,1.044962328,,,,,,,,,,,,
Gh03,EL03,1.044962328,,,,,,,,,,,,
Gh04,EL04,1.044962328,,,,,,,,,,,,
Gh05,EL05,1.044962328,,,,,,,,,,,,
Gh06,EL06,1.044962328,,,,,,,,,,,,
Gh07,EL07,1.044962328,,,,,,,,,,,,
Gh08,EL08,1.044962328,,,,,,,,,,,,
Gh09,EL09,1.044962328,,,,,,,,,,,,
Gh10,EL10,1.044962328,,,,,,,,,,,,
Gh11,EL11,1.044962328,,,,,,,,,,,,
Gh12,EL12,1.044962328,,,,,,,,,,,,
Gh13,EL13,1.044962328,,,,,,,,,,,,
% Diesel train (MM gallon/ vehicle mile),,,,,,,,,,,,,,
ttALFL,DD08,0.000008325,,,,,,,,,,,,
ttALFL,DD09,0.000008325,,,,,,,,,,,,
ttALGA,DD09,0.00001665,,,,,,,,,,,,
ttALMS,DD09,0.00001665,,,,,,,,,,,,
ttALTN,DD09,0.00001665,,,,,,,,,,,,
ttARLA,DD10,0.00001665,,,,,,,,,,,,
ttARMO,DD10,0.00001665,,,,,,,,,,,,
ttAROK,DD10,0.00001665,,,,,,,,,,,,
ttARTN,DD09,0.000008325,,,,,,,,,,,,
ttARTN,DD10,0.000008325,,,,,,,,,,,,
ttARTX,DD02,0.000008325,,,,,,,,,,,,
ttARTX,DD10,0.000008325,,,,,,,,,,,,
ttAZCA,DD12,0.000008325,,,,,,,,,,,,
ttAZCA,DD13,0.000008325,,,,,,,,,,,,
ttAZNM,DD12,0.00001665,,,,,,,,,,,,
ttAZNV,DD11,0.000008325,,,,,,,,,,,,
ttAZNV,DD12,0.000008325,,,,,,,,,,,,
ttAZUT,DD11,0.000008325,,,,,,,,,,,,
ttAZUT,DD12,0.000008325,,,,,,,,,,,,
ttCANV,DD11,0.000008325,,,,,,,,,,,,
ttCANV,DD13,0.000008325,,,,,,,,,,,,
ttCAOR,DD11,0.000008325,,,,,,,,,,,,
ttCAOR,DD13,0.000008325,,,,,,,,,,,,
ttCOKS,DD10,0.000008325,,,,,,,,,,,,
ttCOKS,DD12,0.000008325,,,,,,,,,,,,
ttCONE,DD05,0.000008325,,,,,,,,,,,,
ttCONE,DD12,0.000008325,,,,,,,,,,,,
ttCONM,DD12,0.00001665,,,,,,,,,,,,
ttCOUT,DD11,0.000008325,,,,,,,,,,,,
ttCOUT,DD12,0.000008325,,,,,,,,,,,,
ttCOWY,DD12,0.00001665,,,,,,,,,,,,
ttCTMA,DD07,0.00001665,,,,,,,,,,,,
ttCTNY,DD06,0.000008325,,,,,,,,,,,,
ttCTNY,DD07,0.000008325,,,,,,,,,,,,
ttCTRI,DD07,0.00001665,,,,,,,,,,,,
ttDEMD,DD01,0.000008325,,,,,,,,,,,,
ttDEMD,DD03,0.000008325,,,,,,,,,,,,
ttDENJ,DD03,0.00001665,,,,,,,,,,,,
ttDEPA,DD03,0.00001665,,,,,,,,,,,,
ttFLGA,DD08,0.000008325,,,,,,,,,,,,
ttFLGA,DD09,0.000008325,,,,,,,,,,,,
ttGASC,DD09,0.00001665,,,,,,,,,,,,
ttGATN,DD09,0.00001665,,,,,,,,,,,,
ttIAIL,DD04,0.000008325,,,,,,,,,,,,
ttIAIL,DD05,0.000008325,,,,,,,,,,,,
ttIAMN,DD05,0.00001665,,,,,,,,,,,,
ttIAMO,DD05,0.000008325,,,,,,,,,,,,
ttIAMO,DD10,0.000008325,,,,,,,,,,,,
ttIANE,DD05,0.000008325,,,,,,,,,,,,
ttIASD,DD05,0.00001665,,,,,,,,,,,,
ttIAWI,DD04,0.000008325,,,,,,,,,,,,
ttIAWI,DD05,0.000008325,,,,,,,,,,,,
ttIDMT,DD11,0.00001665,,,,,,,,,,,,
ttIDOR,DD11,0.00001665,,,,,,,,,,,,
ttIDUT,DD11,0.00001665,,,,,,,,,,,,
ttIDWA,DD11,0.00001665,,,,,,,,,,,,
