code,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
CP,X % Coal production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP,X % Natural gas production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas demand (MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAL,205382,25440,24743,22042,17160,14682,12865,12700,12915,12808,13220,16179,20628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAK,44453,5955,5191,4370,3377,2575,2151,1975,1829,2441,4029,4924,5636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAZ,91153,15576,13589,9987,6804,5865,5157,4302,4107,4375,5058,6513,9820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAR,157781,20663,20166,16703,13182,10851,9307,8888,8869,9336,10090,11909,17817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCA,1504356,180620,161363,136934,117132,114815,101651,101167,103156,104417,113157,114721,155223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCO,319455,49905,40188,34688,25126,17147,12752,13633,13585,13469,22252,30075,46635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCT,103143,15164,14660,13838,9098,6094,4343,4050,3951,4113,5652,9040,13140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTDE,36960,4745,4648,4028,3142,2626,1949,1770,1924,1586,2554,3482,4506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTDC,31635,5010,4524,3522,2139,1522,1291,1095,1126,1190,2022,3480,4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFL,134769,13864,13134,13437,12884,11514,10347,9769,9555,9136,9362,9866,11901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTGA,321666,48637,38190,31456,23111,19006,17298,17739,17688,17602,22334,32248,36357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTHI,2699,245,237,235,238,225,233,238,211,211,206,204,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTID,69057,9502,9103,7127,6297,4515,3464,2880,2697,3151,5024,6042,9255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,952318,141845,147118,124155,85783,52389,37123,34530,33420,33172,50658,76936,135189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIN,509769,73918,70065,55430,36259,30631,26497,25300,25711,23597,32113,45394,64854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,288716,39922,38424,31993,22822,17745,14301,14052,14112,14503,18868,26211,35763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKS,217516,31586,28405,24273,17726,13375,11816,11981,13667,11266,11493,15812,26116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,198246,30025,25466,22466,15362,11680,9898,9826,9804,9639,12055,17923,24102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
